departamento,comuna,contexto01,contexto03,contexto06,contexto08,contexto10,contexto11,contexto12,contexto13,contexto14,contexto15,contexto16,contexto17,contexto21,contexto22
Rio Primero, Santa Rosa De Rio Primero,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rio Primero, Villa Fontana,4,0,0,0,0,0,0,0,0,0,0,0,0,0
Rio Primero, Zona Rural No Comprendida En Municipios O Comunas,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Rio Seco, Cerro Colorado,4,0,0,0,0,0,0,1,0,0,1,0,1,0
Rio Seco, Chañar Viejo,4,0,0,0,0,0,0,0,1,0,0,0,1,0
Rio Seco, Eufracio Loza,4,0,0,0,0,0,0,1,0,0,1,0,1,0
Rio Seco, Gutemberg,4,0,0,0,0,0,1,1,1,0,0,1,1,0
Rio Seco, La Rinconada,4,0,0,0,0,0,1,0,1,0,0,1,1,0
Rio Seco, Los Hoyos,4,0,0,0,0,0,0,1,0,0,0,1,1,0
Rio Seco, Puesto De Castro,4,0,0,0,0,0,1,0,1,0,0,1,1,0
Rio Seco, Rayo Cortado,4,0,0,0,0,0,0,1,0,0,0,0,1,0
Rio Seco, Santa Elena,4,0,0,1,0,0,0,1,0,0,0,0,1,0
Rio Seco, Sebastian Elcano,4,0,0,0,0,0,1,0,1,0,0,0,1,0
Rio Seco, Villa Candelaria Norte,4,0,0,1,0,0,0,1,1,0,1,0,1,0
Rio Seco, Villa De Maria,4,0,0,0,0,0,1,0,1,0,0,1,1,0
Rio Seco, Zona Rural No Comprendida En Municipios O Comunas,0,0,0,0,0,0,0,1,0,0,1,0,1,0
Rio Segundo, Calchin,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rio Segundo, Calchin Oeste,4,0,0,0,0,0,0,0,0,0,0,0,0,0
Rio Segundo, Capilla Del Carmen,4,0,0,0,0,0,0,0,0,0,0,1,0,0
Rio Segundo, Carrilobo,4,0,0,0,0,1,0,0,0,0,0,0,0,1
Rio Segundo, Colazo,4,0,0,0,0,0,0,0,0,0,0,0,0,0
Rio Segundo, Colonia Videla,4,0,0,1,0,0,1,0,1,0,0,1,0,0
Rio Segundo, Costasacate,4,0,0,0,0,0,0,0,0,0,0,0,0,0
Rio Segundo, Impira,4,0,0,1,0,1,0,1,0,0,0,0,0,1
Rio Segundo, Laguna Larga,4,0,0,0,0,0,0,0,0,0,0,0,0,0
Rio Segundo, Las Junturas,4,0,0,0,0,0,0,0,0,0,0,0,0,0
Rio Segundo, Los Chañaritos,4,0,0,0,0,0,0,0,0,0,0,0,0,0
Rio Segundo, Luque,4,0,1,0,0,0,0,0,0,0,0,0,0,0
Rio Segundo, Manfredi,4,0,0,0,0,0,0,0,0,0,0,0,0,0
Rio Segundo, Matorrales,4,0,0,0,0,0,0,0,0,0,0,0,0,0
Rio Segundo, Oncativo,4,0,0,0,0,0,0,0,0,0,0,0,0,0
Rio Segundo, Pilar,4,0,0,0,0,0,0,0,0,0,0,0,0,0
Rio Segundo, Pozo Del Molle,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rio Segundo, Rincon,4,0,0,0,0,0,0,0,0,0,0,0,0,1
Rio Segundo, Rio Segundo,4,0,0,0,0,0,0,0,0,0,0,0,0,0
Rio Segundo, Santiago Temple,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rio Segundo, Villa Del Rosario,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rio Segundo, Zona Rural No Comprendida En Municipios O Comunas,0,0,0,0,0,0,0,0,0,0,0,0,0,0
San Alberto, Ambul,4,0,0,0,0,1,0,1,0,0,0,0,1,0
San Alberto, Arroyo Los Patos,4,1,0,0,0,0,0,0,0,0,0,0,1,0
San Alberto, Las Calles,4,1,0,0,0,0,0,0,0,1,0,0,1,0
San Alberto, Las Rabonas,4,0,0,0,0,0,0,1,0,0,0,0,1,0
San Alberto, Mina Clavero,4,0,0,0,1,0,0,0,0,0,0,0,1,0
San Alberto, Nono,4,0,0,0,0,0,0,0,0,0,0,0,1,0
San Alberto, Panaholma,4,1,0,1,0,0,0,0,0,0,1,0,1,0
San Alberto, San Lorenzo,4,0,0,0,0,0,0,0,0,0,0,0,1,0
San Alberto, San Pedro,4,0,0,0,0,0,0,0,1,0,0,1,1,0
San Alberto, San Vicente,4,0,0,0,0,0,1,0,0,0,0,1,1,0
San Alberto, Sauce Arriba,4,1,0,1,0,0,1,0,0,0,0,1,1,0
San Alberto, Villa Cura Brochero,0,0,0,0,0,0,0,0,0,0,0,0,1,0
San Alberto, Villa Sarmiento (S. A.),4,0,0,0,0,0,0,0,1,0,0,0,1,0
San Alberto, Zona Rural No Comprendida En Municipios O Comunas,0,0,0,0,0,0,0,0,0,0,0,0,1,0
San Javier, Conlara,4,0,0,1,0,0,1,0,1,0,0,1,0,0
San Javier, La Paz,4,1,0,0,0,0,0,0,0,1,0,0,0,0
San Javier, La Poblacion,4,1,0,1,0,0,0,0,0,1,0,1,0,0
San Javier, Las Tapias,4,1,0,0,0,0,0,0,0,0,0,1,0,0
San Javier, Los Cerrillos,4,1,0,0,0,0,1,0,1,0,0,1,0,0
